PID,StudentName,TRUE,Score,Preferences,,
730231444,hjjacobs,,0,,right,
730243587,kaelaree,,0,,right,
730224561,alannahj,,0,,right,
730164470,ra162742,,0,,right,
730233222,xani,,0,,right,
730225307,annalark,,0,,right,
730238661,aaliyah1,,0,,,
730158736,mattchew,,0,,,
730242698,alyssa13,,0,,,
730152481,yongjia,,0,,middle,
730287093,momedina,,0,,middle,
730235553,cjule,,0,,middle,
730221172,char3,,0,,middle,
730235143,heemaja,,0,,middle,
730231593,pvmist,,0,,middle,
730233117,oscar00,,0,,middle,
730236913,jkmoses,,0,,middle,
730159982,mattrm,,0,,middle,
730242040,kaileyka,,0,,middle,
730248216,deahnai,,0,,middle,
730203657,navaso99,,0,,middle,
730241871,mnebrich,,0,,middle,
730215113,onieri,,0,,middle,
730245434,yazmine,,0,,middle,
730236313,brinwo4,,0,,middle,
730201603,timmy987,,0,,middle,
730242133,ejpadge,,0,,middle,
730243154,ekta0726,,0,,middle,
730197514,danali,,0,,middle,
730158743,sarahbp,,0,,middle,
730162722,eliaszp,,0,,middle,
730167589,ampettus,,0,,middle,
730127144,meimeii,,0,,middle,
730229714,lmplott,,0,,middle,
730091382,nickquig,,0,,middle,
730241033,rosema,,0,,middle,
730247580,karhoda,,0,,middle,
730244616,erobi,,0,,middle,
730231525,mckrolle,,0,,middle,
730280470,isalazar,,0,,middle,
730241690,jadenr,,0,,middle,
730234893,mksmith9,,0,,,
730216002,sonova,,0,,,
730134632,bentasho,,0,,,
730233241,stimmons,,0,,,
730225678,jacktwa7,,0,,,
730151652,ingleing,,0,,,
730225663,jkwalia,,0,,,
730242672,abbey27,,0,,,
730233434,waltonj,,0,,,
730230655,mlwerner,,0,,,
730277527,kyle1718,,0,,,
730247632,nwillen,,,,,
730270901,keyshawn,,,,,
730247173,snwooten,,,,,
730243080,bay512,,,,,
