CID,TeamID,Attributes
1618,169,bi,right
1619,169,bi,right
170,170,bi,left
171,170,bi,left
172,171,bi,left
173,171,bi,left
174,172,bi,left
175,172,a,bi,left
176,173,la,bi,middle
177,173,bi,middle
178,174,bi,middle
179,174,bi,middle
1710,175,bi,middle
1711,175,bi,middle
1712,176,bi,middle
1713,176,bi,middle
1714,177,a,bi,middle
1715,177,la,bi,right
1716,178,bi,right
1717,178,bi,right
1718,179,bi,right
1719,179,bi,right
180,180,bi,left
181,180,bi,left
182,181,bi,left
183,181,bi,left
184,182,bi,left
185,182,a,bi,left
186,183,la,bi,middle
187,183,bi,middle
188,184,bi,middle
189,184,bi,middle
1810,185,bi,middle
1811,185,bi,middle
1812,186,bi,middle
1813,186,bi,middle
1814,187,a,bi,middle
1815,187,la,bi,right
1816,188,bi,right
1817,188,bi,right
1818,189,bi,right
1819,189,bi,right
190,190,b,left
191,190,b,left
192,191,b,left
193,191,b,left
194,192,b,left
195,192,a,b,left
196,193,la,b,middle
197,193,b,middle
198,194,b,middle
199,194,b,middle
1910,195,b,middle
1911,195,b,middle
1912,196,b,middle
1913,196,b,middle
1914,197,a,b,middle
1915,197,la,b,right
1916,198,b,right
1917,198,b,right
1918,199,b,right
1919,199,b,right
