CID,TeamID,Attributes
81undefined,41,fi,left
81undefined,41,fi,left
82undefined,42,fi,left
82undefined,42,a,fi,left
83undefined,43,la,fi,middle
83undefined,43,fi,middle
84undefined,44,fi,middle
84undefined,44,fi,middle
85undefined,45,fi,middle
85undefined,45,fi,middle
86undefined,46,fi,middle
86undefined,46,fi,middle
87undefined,47,a,fi,middle
87undefined,47,la,fi,right
88undefined,48,fi,right
88undefined,48,fi,right
89undefined,49,fi,right
89undefined,49,fi,right
90undefined,40,fi,left
90undefined,40,fi,left
91undefined,41,fi,left
91undefined,41,fi,left
92undefined,42,fi,left
92undefined,42,a,fi,left
93undefined,43,la,fi,middle
93undefined,43,fi,middle
94undefined,44,fi,middle
94undefined,44,fi,middle
95undefined,45,fi,middle
95undefined,45,fi,middle
96undefined,46,fi,middle
96undefined,46,fi,middle
97undefined,47,a,fi,middle
97undefined,47,la,fi,right
98undefined,48,fi,right
98undefined,48,fi,right
99undefined,49,fi,right
99undefined,49,fi,right
100undefined,50,fi,left
100undefined,50,fi,left
101undefined,51,fi,left
101undefined,51,fi,left
102undefined,52,fi,left
102undefined,52,a,fi,left
103undefined,53,la,fi,middle
103undefined,53,fi,middle
104undefined,54,fi,middle
104undefined,54,fi,middle
105undefined,55,fi,middle
105undefined,55,fi,middle
106undefined,56,fi,middle
106undefined,56,fi,middle
107undefined,57,a,fi,middle
107undefined,57,la,fi,right
108undefined,58,fi,right
108undefined,58,fi,right
109undefined,59,fi,right
109undefined,59,fi,right
110undefined,50,bi,left
110undefined,50,bi,left
111undefined,51,bi,left
111undefined,51,bi,left
112undefined,52,bi,left
112undefined,52,a,bi,left
113undefined,53,la,bi,middle
113undefined,53,bi,middle
114undefined,54,bi,middle
114undefined,54,bi,middle
115undefined,55,bi,middle
115undefined,55,bi,middle
116undefined,56,bi,middle
116undefined,56,bi,middle
117undefined,57,a,bi,middle
117undefined,57,la,bi,right
118undefined,58,bi,right
118undefined,58,bi,right
119undefined,59,bi,right
119undefined,59,bi,right
120undefined,60,bi,left
120undefined,60,bi,left
121undefined,61,bi,left
121undefined,61,bi,left
122undefined,62,bi,left
122undefined,62,a,bi,left
123undefined,63,la,bi,middle
123undefined,63,bi,middle
124undefined,64,bi,middle
124undefined,64,bi,middle
125undefined,65,bi,middle
125undefined,65,bi,middle
126undefined,66,bi,middle
126undefined,66,bi,middle
127undefined,67,a,bi,middle
127undefined,67,la,bi,right
128undefined,68,bi,right
128undefined,68,bi,right
129undefined,69,bi,right
129undefined,69,bi,right
130undefined,60,bi,left
130undefined,60,bi,left
131undefined,61,bi,left
131undefined,61,bi,left
132undefined,62,bi,left
132undefined,62,a,bi,left
133undefined,63,la,bi,middle
133undefined,63,bi,middle
134undefined,64,bi,middle
134undefined,64,bi,middle
135undefined,65,bi,middle
135undefined,65,bi,middle
136undefined,66,bi,middle
136undefined,66,bi,middle
137undefined,67,a,bi,middle
137undefined,67,la,bi,right
138undefined,68,bi,right
138undefined,68,bi,right
139undefined,69,bi,right
139undefined,69,bi,right
140undefined,70,bi,left
140undefined,70,bi,left
141undefined,71,bi,left
141undefined,71,bi,left
142undefined,72,bi,left
142undefined,72,a,bi,left
143undefined,73,la,bi,middle
143undefined,73,bi,middle
144undefined,74,bi,middle
144undefined,74,bi,middle
145undefined,75,bi,middle
145undefined,75,bi,middle
146undefined,76,bi,middle
146undefined,76,bi,middle
147undefined,77,a,bi,middle
147undefined,77,la,bi,right
148undefined,78,bi,right
148undefined,78,bi,right
149undefined,79,bi,right
149undefined,79,bi,right
150undefined,70,bi,left
150undefined,70,bi,left
151undefined,71,bi,left
151undefined,71,bi,left
152undefined,72,bi,left
152undefined,72,a,bi,left
153undefined,73,la,bi,middle
153undefined,73,bi,middle
154undefined,74,bi,middle
154undefined,74,bi,middle
155undefined,75,bi,middle
155undefined,75,bi,middle
156undefined,76,bi,middle
156undefined,76,bi,middle
157undefined,77,a,bi,middle
157undefined,77,la,bi,right
158undefined,78,bi,right
158undefined,78,bi,right
159undefined,79,bi,right
159undefined,79,bi,right
160undefined,80,bi,left
160undefined,80,bi,left
161undefined,81,bi,left
161undefined,81,bi,left
162undefined,82,bi,left
162undefined,82,a,bi,left
163undefined,83,la,bi,middle
163undefined,83,bi,middle
164undefined,84,bi,middle
164undefined,84,bi,middle
165undefined,85,bi,middle
165undefined,85,bi,middle
166undefined,86,bi,middle
166undefined,86,bi,middle
167undefined,87,a,bi,middle
167undefined,87,la,bi,right
168undefined,88,bi,right
168undefined,88,bi,right
169undefined,89,bi,right
169undefined,89,bi,right
170undefined,80,bi,left
170undefined,80,bi,left
171undefined,81,bi,left
171undefined,81,bi,left
172undefined,82,bi,left
172undefined,82,a,bi,left
173undefined,83,la,bi,middle
173undefined,83,bi,middle
174undefined,84,bi,middle
174undefined,84,bi,middle
175undefined,85,bi,middle
175undefined,85,bi,middle
176undefined,86,bi,middle
176undefined,86,bi,middle
177undefined,87,a,bi,middle
177undefined,87,la,bi,right
178undefined,88,bi,right
178undefined,88,bi,right
179undefined,89,bi,right
179undefined,89,bi,right
180undefined,90,bi,left
180undefined,90,bi,left
181undefined,91,bi,left
181undefined,91,bi,left
182undefined,92,bi,left
182undefined,92,a,bi,left
183undefined,93,la,bi,middle
183undefined,93,bi,middle
184undefined,94,bi,middle
184undefined,94,bi,middle
185undefined,95,bi,middle
185undefined,95,bi,middle
186undefined,96,bi,middle
186undefined,96,bi,middle
187undefined,97,a,bi,middle
187undefined,97,la,bi,right
188undefined,98,bi,right
188undefined,98,bi,right
189undefined,99,bi,right
189undefined,99,bi,right
190undefined,90,b,left
190undefined,90,b,left
191undefined,91,b,left
191undefined,91,b,left
192undefined,92,b,left
192undefined,92,a,b,left
193undefined,93,la,b,middle
193undefined,93,b,middle
194undefined,94,b,middle
194undefined,94,b,middle
195undefined,95,b,middle
195undefined,95,b,middle
196undefined,96,b,middle
196undefined,96,b,middle
197undefined,97,a,b,middle
197undefined,97,la,b,right
198undefined,98,b,right
198undefined,98,b,right
199undefined,99,b,right
199undefined,99,b,right
